Rat_external_gene_name_b38_Astrocyte,Rat_external_gene_name_b38_Microglia,Rat_external_gene_name_b38_Oligo,Rat_external_gene_name_b38_Endothelial,Rat_external_gene_name_b38_GabaPV,Rat_external_gene_name_b38_GabaRelnCalb,Rat_external_gene_name_b38_GabaVIPReln,Rat_external_gene_name_b38_Microglia_activation,Rat_external_gene_name_b38_Microglia_deactivation,Rat_external_gene_name_b38_OligoPrecursors,Rat_external_gene_name_b38_Pyramidal
Dok7,Rgs1,,Nid2,,,,,Rnase6,Zeb1,
Lcat,Il13ra1,,Mmrn2,,,,,Atf3,Fam89a,
Tmem52,Dok3,,Gbp6,,,,,Hk3,Cmtr2,
Tmem47,Chi3l3,,Atp10d,,,,,Laptm5,Gins2,
Ndrg2,Ptgr1,,AABR07028488.1,,,,,Hvcn1,Slitrk6,
Gm17660,Lrch4,,AC117299.1,,,,,Evl,Angptl1,
Ndp,Epsti1,,Foxc1,,,,,Lrrc3,Pcdh15,
Hopx,Nlrp3,,Col4a1,,,,,Atp8a2,Eri1,
Acat2,Cryba1,,Adgre5,,,,,Ndst2,Hr,
Acat2l1,Ankrd44,,Flt1,,,,,Mylip,Scel,
Sctr,Nlrp1a,,Nid1,,,,,Slc15a4,Pabpc5,
Lpp,AABR07029890.1,,Slc38a5,,,,,Prkcd,Fzd9,
Oaf,Nagpa,,Zic3,,,,,Psmb9,Nectin4,
Ppp1r3c,Mir3582,,Lats2,,,,,Adrb2,Mc4r,
Paqr8,Cradd,,Slfn2,,,,,Scamp2,Tnr,
Lfng,Tlcd2,,Sox7,,,,,Sec16b,Sfmbt2,
Tekt1,Slc24a1,,4930523C07Rik,,,,,Gpr183,Kctd12b,
Rfx2,Vwa5a,,,,,,,RT1-DMa,Gpr82,
Stag3,Adgre1,,,,,,,Fgd2,Bmp4,
AABR07029596.1,Btg2,,,,,,,Arap3,F8,
Phka1,Klf6,,,,,,,Hpgd,Htra3,
Cyp4f4,Fam91a1,,,,,,,Slamf9,Neil3,
Pex11g,Frmd4a,,,,,,,Selplg,,
Gramd2b,Mettl7a,,,,,,,Dhtkd1,,
Sugct,Cfh,,,,,,,Myo1g,,
Fzd2,Ppcdc,,,,,,,Rreb1,,
Upp1,Rnase4,,,,,,,Naglu,,
AB124611,6030468B19Rik,,,,,,,Afp,,
Tfcp2l1,Adam17,,,,,,,Abcd1,,
Plxnb1,Plxdc2,,,,,,,Tmem119,,
Slc12a4,Hcls1,,,,,,,Bin1,,
Pla2g7,Cyth4,,,,,,,Irf8,,
Chrdl1,Casp1,,,,,,,Lrrc25,,
Dhrs11,Adgre4,,,,,,,AABR07024439.1,,
Ccdc69,AABR07029581.1,,,,,,,Sema4d,,
Rftn2,Lcp1,,,,,,,Lat2,,
Gabrg1,Nrros,,,,,,,Dock11,,
Lrrc9,AABR07030793.1,,,,,,,Arl11,,
Chst2,Cd300a,,,,,,,Susd3,,
Clu,RGD1559482,,,,,,,Vrk2,,
Gramd1c,AABR07030773.1,,,,,,,RT1-DOb,,
Aldh6a1,RGD1562667,,,,,,,Tnfsf13b,,
Ptch1,Arhgap45,,,,,,,,,
Nwd1,Rassf5,,,,,,,,,
RGD1562029,Rnase12,,,,,,,,,
Plcd4,Ccrl2,,,,,,,,,
Gdf10,Ier5,,,,,,,,,
Acsl6,Msn,,,,,,,,,
Aox1,Dennd1c,,,,,,,,,
Soat1,Cables1,,,,,,,,,
Retsat,RGD1305464,,,,,,,,,
Shpk,Gusb,,,,,,,,,
Adhfe1,Uchl3,,,,,,,,,
Gpld1,RT1-DMb,,,,,,,,,
Btbd17,Mrc1,,,,,,,,,
Glipr2,Tcn2,,,,,,,,,
Abhd3,Itgb2,,,,,,,,,
Ccdc80,RT1-CE16,,,,,,,,,
Acsbg1,RT1-CE14,,,,,,,,,
Etnppl,RT1-CE11,,,,,,,,,
Snord8,AABR07044383.1,,,,,,,,,
Slc38a3,RT1-CE2,,,,,,,,,
Ddhd1,RT1-CE1,,,,,,,,,
Utp14b,Reep4,,,,,,,,,
Gjb6,Alox5ap,,,,,,,,,
Cbs,AABR07024439.1,,,,,,,,,
Dtna,Ripk3,,,,,,,,,
Ugp2,Tapbp,,,,,,,,,
Znrf3,Nhlrc1,,,,,,,,,
Acaa2,RT1-DOa,,,,,,,,,
Sorcs2,Myo18b,,,,,,,,,
Slc14a1,Spata46,,,,,,,,,
Taf4b,Adap2,,,,,,,,,
Smpd2,Arhgap30,,,,,,,,,
Ppil6,Stab1,,,,,,,,,
Zic5,F11r,,,,,,,,,
Fmo1,Tlr1,,,,,,,,,
Naprt,Slc7a7,,,,,,,,,
Aqp4,Cysltr1,,,,,,,,,
Glud1,Sash3,,,,,,,,,
Elovl2,Dnajb1,,,,,,,,,
Mettl11b,Ntpcr,,,,,,,,,
Ntrk2,Phf11b,,,,,,,,,
Atp1a2,Phf11,,,,,,,,,
Prdx6,Tap2,,,,,,,,,
Pxmp2,Herpud1,,,,,,,,,
Acsl3,Pald1,,,,,,,,,
Gli3,Cmklr1,,,,,,,,,
Psd2,Golm1,,,,,,,,,
Cldn10,Zfp90,,,,,,,,,
Ccdc190,Ly86,,,,,,,,,
Mmp14,Srrd,,,,,,,,,
Phkg1,Rel,,,,,,,,,
Slc1a4,Zfhx3,,,,,,,,,
Dmp1,Zbtb37,,,,,,,,,
Fkbp10,Pros1,,,,,,,,,
Fgfr3,Spata13,,,,,,,,,
Gfap,Gpsm3,,,,,,,,,
Cideb,Hcar2,,,,,,,,,
Smpdl3a,F9,,,,,,,,,
Otx1,Smad7,,,,,,,,,
Id4,Mgat4a,,,,,,,,,
Ttpa,Creg1,,,,,,,,,
Naaa,,,,,,,,,,
Abcb9,,,,,,,,,,
